date,iso_alpha_3,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,tests,confirmed,deaths,recovered,population,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,stringency_index
2021-04-12,CHN,China,,,,103136,4854,,1392730000,-3.0,-2.0,-2.0,-4.0,-2.0,-3.0,-2.0,3.0,2.0,3.0,2.0,78.24
2021-04-13,CHN,China,,,,103165,4854,,1392730000,-3.0,-2.0,-2.0,-4.0,-2.0,-3.0,-2.0,3.0,2.0,3.0,2.0,78.24
2021-04-14,CHN,China,,,,103185,4855,,1392730000,-3.0,-2.0,-2.0,-4.0,-2.0,-3.0,-2.0,3.0,2.0,3.0,2.0,78.24
2021-04-15,CHN,China,,,,103203,4856,,1392730000,-3.0,-2.0,-2.0,-4.0,-2.0,-3.0,-2.0,3.0,2.0,3.0,2.0,78.24
2021-04-16,CHN,China,,,,103237,4856,,1392730000,-3.0,-2.0,-2.0,-4.0,-2.0,-3.0,-2.0,3.0,2.0,3.0,2.0,78.24
2021-04-17,CHN,China,,,,103273,4856,,1392730000,-3.0,-2.0,-2.0,-4.0,-2.0,-3.0,-2.0,3.0,2.0,3.0,2.0,78.24
2021-04-18,CHN,China,,,,103315,4856,,1392730000,-3.0,-2.0,-2.0,-4.0,-2.0,-3.0,-2.0,3.0,2.0,3.0,2.0,78.24
2021-04-19,CHN,China,,,,103340,4856,,1392730000,-3.0,-2.0,-2.0,-4.0,-2.0,-3.0,-2.0,3.0,2.0,3.0,2.0,78.24
2021-04-20,CHN,China,,,,103371,4856,,1392730000,-3.0,-2.0,-2.0,-4.0,-2.0,-3.0,-2.0,3.0,2.0,3.0,2.0,78.24
2021-04-21,CHN,China,,,,103382,4856,,1392730000,-3.0,-2.0,-2.0,-4.0,-2.0,-3.0,-2.0,3.0,2.0,3.0,2.0,78.24
2021-04-22,CHN,China,,,,103419,4856,,1392730000,-3.0,-2.0,-2.0,-4.0,-2.0,-3.0,-2.0,3.0,2.0,3.0,2.0,78.24
2021-04-23,CHN,China,,,,103441,4856,,1392730000,-3.0,-2.0,-2.0,-4.0,-2.0,-3.0,-2.0,3.0,2.0,3.0,2.0,78.24
2021-04-24,CHN,China,,,,103464,4856,,1392730000,-3.0,-2.0,-2.0,-4.0,-2.0,-3.0,-2.0,3.0,2.0,3.0,2.0,78.24
2021-04-25,CHN,China,,,,103484,4856,,1392730000,-3.0,-2.0,-2.0,-4.0,-2.0,-3.0,-2.0,3.0,2.0,3.0,2.0,78.24
2021-04-26,CHN,China,,,,103503,4857,,1392730000,-3.0,-2.0,-2.0,-4.0,-2.0,-3.0,-2.0,3.0,2.0,3.0,2.0,78.24
2021-04-27,CHN,China,,,,103529,4857,,1392730000,-3.0,-2.0,-2.0,-4.0,-2.0,-3.0,-2.0,3.0,2.0,3.0,2.0,78.24
2021-04-28,CHN,China,,,,103562,4857,,1392730000,-3.0,-2.0,-2.0,-4.0,-2.0,-3.0,-2.0,3.0,2.0,3.0,2.0,78.24
2021-04-29,CHN,China,,,,103595,4857,,1392730000,-3.0,-2.0,-2.0,-4.0,-2.0,-3.0,-2.0,3.0,2.0,3.0,2.0,78.24
2021-04-30,CHN,China,,,,103622,4857,,1392730000,-3.0,-2.0,-2.0,-4.0,-2.0,-3.0,-2.0,3.0,2.0,3.0,2.0,78.24
2021-05-01,CHN,China,,,,103649,4858,,1392730000,-3.0,-2.0,-2.0,-4.0,-2.0,-3.0,-2.0,3.0,2.0,3.0,2.0,78.24
2021-05-02,CHN,China,,,,103667,4858,,1392730000,-3.0,-2.0,-2.0,-4.0,-2.0,-3.0,-2.0,3.0,2.0,3.0,2.0,78.24
2021-05-03,CHN,China,,,,103694,4858,,1392730000,-3.0,-2.0,-2.0,-4.0,-2.0,-3.0,-2.0,3.0,2.0,3.0,2.0,78.24
2021-05-04,CHN,China,,,,103713,4858,,1392730000,-3.0,-2.0,-2.0,-4.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,67.13
2021-05-05,CHN,China,,,,103731,4858,,1392730000,-3.0,-2.0,-2.0,-4.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,67.13
2021-05-06,CHN,China,,,,103759,4858,,1392730000,-2.0,-2.0,-2.0,-4.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,63.43
2021-05-07,CHN,China,,,,103773,4858,,1392730000,-2.0,-2.0,-2.0,-4.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,63.43
2021-05-08,CHN,China,,,,103795,4858,,1392730000,-2.0,-2.0,-2.0,-4.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,63.43
2021-05-09,CHN,China,,,,103808,4858,,1392730000,-2.0,-2.0,-2.0,-4.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,63.43
2021-05-10,CHN,China,,,,103841,4858,,1392730000,-2.0,-2.0,-2.0,-4.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,63.43
2021-05-11,CHN,China,,,,103869,4858,,1392730000,-2.0,-2.0,-2.0,-4.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,63.43
2021-05-12,CHN,China,,,,103901,4858,,1392730000,1.0,-2.0,-2.0,-4.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,61.57
2021-05-13,CHN,China,,,,103936,4858,,1392730000,1.0,-2.0,-2.0,-4.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,61.57
2021-05-14,CHN,China,,,,103985,4858,,1392730000,1.0,-2.0,-2.0,-4.0,1.0,-3.0,1.0,3.0,2.0,3.0,2.0,67.13
2021-05-15,CHN,China,,,,104191,4858,,1392730000,1.0,-2.0,-2.0,-4.0,1.0,-3.0,1.0,3.0,2.0,3.0,2.0,67.13
2021-05-16,CHN,China,,,,104425,4858,,1392730000,-2.0,-2.0,-2.0,-4.0,1.0,-3.0,1.0,3.0,2.0,3.0,2.0,68.98
2021-05-17,CHN,China,,,,104782,4858,,1392730000,-2.0,-2.0,-2.0,-4.0,1.0,-3.0,1.0,3.0,2.0,3.0,2.0,68.98
2021-05-18,CHN,China,,,,105040,4860,,1392730000,-2.0,-2.0,-2.0,-4.0,1.0,-3.0,1.0,3.0,2.0,3.0,2.0,68.98
2021-05-19,CHN,China,,,,105326,4860,,1392730000,-2.0,-2.0,-2.0,-4.0,1.0,-3.0,1.0,3.0,2.0,3.0,2.0,68.98
2021-05-20,CHN,China,,,,105645,4861,,1392730000,-2.0,-2.0,-2.0,-4.0,1.0,-3.0,1.0,3.0,2.0,3.0,2.0,68.98
2021-05-21,CHN,China,,,,105971,4861,,1392730000,-2.0,-2.0,-2.0,-4.0,1.0,-3.0,1.0,3.0,2.0,3.0,2.0,68.98
2021-05-22,CHN,China,,,,106713,4863,,1392730000,-2.0,-2.0,-2.0,-4.0,1.0,-3.0,1.0,3.0,2.0,3.0,2.0,68.98
2021-05-23,CHN,China,,,,107187,4869,,1392730000,-2.0,-2.0,-2.0,-4.0,1.0,-3.0,1.0,3.0,2.0,3.0,2.0,68.98
2021-05-24,CHN,China,,,,107798,4875,,1392730000,-2.0,-2.0,-2.0,-4.0,1.0,-3.0,1.0,3.0,2.0,3.0,2.0,68.98
2021-05-25,CHN,China,,,,108356,4881,,1392730000,-2.0,-2.0,-2.0,-4.0,1.0,-3.0,1.0,3.0,2.0,3.0,2.0,68.98
2021-05-26,CHN,China,,,,109010,4892,,1392730000,-2.0,-2.0,-2.0,-4.0,1.0,-3.0,1.0,3.0,2.0,3.0,2.0,68.98
